epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.25582,2.34763,5.30493,1.48321,0,0,0,0,2.19492,5.12365,1.30862,1.491e-05,1.491e-05,1.491e-05
2,10.7661,2.21959,5.26202,1.39098,0,0,0,0,1.98453,5.06044,1.17193,3.18867e-05,3.18867e-05,3.18867e-05
3,14.1015,2.00914,5.12843,1.27883,0,0,0,0,1.79156,5.03048,1.10536,4.8796e-05,4.8796e-05,4.8796e-05
4,17.4357,1.9395,5.04574,1.21875,0,0,0,0,1.65417,4.96644,1.06286,6.56378e-05,6.56378e-05,6.56378e-05
5,20.8554,1.88112,4.84198,1.16683,0,0,0,0,1.55678,4.89952,1.02063,8.24121e-05,8.24121e-05,8.24121e-05
6,24.3916,1.75456,4.47824,1.12337,0.0638,0.07202,0.07228,0.06609,1.57529,4.81068,1.03417,9.91189e-05,9.91189e-05,9.91189e-05
7,27.9376,1.6467,4.16076,1.09305,0.36897,0.07407,0.08254,0.07456,1.56322,4.66029,1.03049,0.000115758,0.000115758,0.000115758
8,31.2139,1.60201,3.96135,1.0587,0.54425,0.07581,0.09017,0.07707,1.49344,4.2974,1.01953,0.00013233,0.00013233,0.00013233
9,34.5469,1.56647,3.72169,1.06079,0.69271,0.08541,0.14291,0.11709,1.48291,3.84609,1.01,0.000148835,0.000148835,0.000148835
10,37.8048,1.53436,3.61671,1.03879,0.7636,0.08638,0.19954,0.1532,1.48155,3.59688,1.01609,0.000165271,0.000165271,0.000165271
11,41.0739,1.49524,3.4328,1.05584,0.69058,0.13549,0.21676,0.16103,1.44572,3.28905,0.99851,0.000181641,0.000181641,0.000181641
12,44.3654,1.51829,3.30007,1.02933,0.72359,0.21805,0.22812,0.16556,1.39543,2.96051,0.98562,0.000197943,0.000197943,0.000197943
13,47.5992,1.466,3.16254,1.00872,0.77713,0.23577,0.23801,0.17246,1.29215,2.64485,0.96744,0.000207939,0.000207939,0.000207939
14,50.8398,1.40884,3.04605,1.01208,0.80007,0.24156,0.2535,0.18592,1.26588,2.44629,0.96682,0.000207517,0.000207517,0.000207517
15,54.1798,1.40576,2.91237,1.00987,0.84687,0.23248,0.28685,0.20571,1.24141,2.25803,0.95524,0.000207096,0.000207096,0.000207096
16,57.4363,1.37301,2.69949,1.00075,0.63838,0.37335,0.34951,0.25418,1.2386,2.11216,0.94829,0.000206674,0.000206674,0.000206674
17,60.7911,1.38132,2.45303,1.00828,0.63534,0.39427,0.37721,0.27108,1.21937,2.01335,0.95109,0.000206252,0.000206252,0.000206252
18,64.0804,1.35966,2.42676,0.97257,0.57615,0.43098,0.39299,0.28749,1.18186,1.93081,0.94501,0.00020583,0.00020583,0.00020583
19,67.4048,1.35812,2.43004,0.97609,0.6073,0.41972,0.41579,0.30977,1.16304,1.82806,0.93759,0.000205409,0.000205409,0.000205409
20,70.7931,1.33202,2.11654,1.00368,0.64222,0.4363,0.43097,0.31685,1.15795,1.70736,0.92956,0.000204987,0.000204987,0.000204987
21,74.1272,1.2976,2.06442,0.96764,0.6511,0.42429,0.45305,0.33929,1.16031,1.61138,0.93471,0.000204565,0.000204565,0.000204565
22,77.4231,1.31703,1.94701,0.96901,0.61826,0.49729,0.46938,0.35263,1.12044,1.53805,0.92619,0.000204143,0.000204143,0.000204143
23,81.2004,1.28975,1.9375,0.97652,0.66353,0.46398,0.48549,0.36985,1.05195,1.42078,0.91636,0.000203722,0.000203722,0.000203722
24,85.4734,1.26053,1.80676,0.95059,0.66119,0.46481,0.49382,0.38074,1.04708,1.41747,0.9152,0.0002033,0.0002033,0.0002033
25,89.118,1.28821,1.81365,0.96004,0.6943,0.4585,0.50131,0.39195,1.05463,1.47463,0.91969,0.000202878,0.000202878,0.000202878
26,92.3685,1.26163,1.68859,0.98688,0.70735,0.45634,0.51072,0.39963,1.06122,1.44498,0.92069,0.000202457,0.000202457,0.000202457
27,95.716,1.2503,1.69729,0.96059,0.70738,0.47654,0.51664,0.38872,1.09537,1.45467,0.92093,0.000202035,0.000202035,0.000202035
28,99.1096,1.19314,1.56261,0.94795,0.69496,0.46107,0.51874,0.40504,1.07486,1.42198,0.91779,0.000201613,0.000201613,0.000201613
29,102.568,1.19531,1.50124,0.94644,0.74569,0.45563,0.52243,0.40285,1.07444,1.37903,0.91744,0.000201191,0.000201191,0.000201191
30,105.836,1.20584,1.51271,0.94083,0.75227,0.45956,0.5366,0.41853,1.04375,1.33219,0.91427,0.00020077,0.00020077,0.00020077
31,109.146,1.17387,1.47823,0.9289,0.7782,0.48029,0.54898,0.41979,1.06033,1.3346,0.91264,0.000200348,0.000200348,0.000200348
32,112.51,1.16974,1.39928,0.93816,0.74578,0.49934,0.56869,0.42544,1.07937,1.26429,0.90978,0.000199926,0.000199926,0.000199926
33,115.788,1.20286,1.40458,0.93809,0.72963,0.5221,0.57803,0.4424,1.04118,1.21858,0.90546,0.000199504,0.000199504,0.000199504
34,119.121,1.18397,1.39144,0.94053,0.75467,0.54014,0.59239,0.45274,1.01499,1.17953,0.90506,0.000199083,0.000199083,0.000199083
35,122.429,1.18118,1.37765,0.9381,0.76612,0.54586,0.60635,0.44884,1.03644,1.16058,0.90348,0.000198661,0.000198661,0.000198661
36,125.777,1.163,1.3183,0.9378,0.78194,0.53663,0.62735,0.4744,1.03094,1.108,0.90161,0.000198239,0.000198239,0.000198239
37,129.03,1.13229,1.31157,0.9298,0.77899,0.53088,0.63088,0.48751,0.98061,1.07458,0.89637,0.000197817,0.000197817,0.000197817
38,132.312,1.14125,1.27297,0.94076,0.76069,0.56931,0.64086,0.48173,1.00067,1.07105,0.89349,0.000197396,0.000197396,0.000197396
39,135.54,1.10513,1.22571,0.93094,0.75357,0.62115,0.64813,0.48979,1.02452,1.04872,0.89935,0.000196974,0.000196974,0.000196974
40,138.857,1.12483,1.17436,0.9485,0.77209,0.60613,0.67254,0.4973,1.05822,0.99301,0.90471,0.000196552,0.000196552,0.000196552
41,142.114,1.15183,1.19181,0.94152,0.75996,0.57507,0.67718,0.51384,1.01018,0.96413,0.8936,0.00019613,0.00019613,0.00019613
42,145.432,1.10752,1.13496,0.92221,0.75154,0.5939,0.68,0.51625,1.05224,0.97337,0.89762,0.000195709,0.000195709,0.000195709
43,148.717,1.09526,1.15331,0.93006,0.73386,0.60706,0.6775,0.52081,1.00538,0.98517,0.88965,0.000195287,0.000195287,0.000195287
44,152.058,1.09459,1.14893,0.91674,0.84536,0.57773,0.68275,0.51778,0.98918,0.95182,0.8858,0.000194865,0.000194865,0.000194865
45,155.343,1.07822,1.11158,0.92086,0.91232,0.57828,0.68237,0.51732,0.99691,0.93948,0.88531,0.000194443,0.000194443,0.000194443
46,158.633,1.06538,1.09189,0.91307,0.90835,0.57069,0.6855,0.51646,0.99856,0.92635,0.88632,0.000194022,0.000194022,0.000194022
47,161.911,1.09793,1.11791,0.91769,0.87666,0.58164,0.68433,0.51166,1.02787,0.92023,0.89309,0.0001936,0.0001936,0.0001936
48,165.218,1.08462,1.11552,0.9127,0.8837,0.59135,0.70126,0.51951,0.98194,0.89081,0.8841,0.000193178,0.000193178,0.000193178
49,168.49,1.06334,1.0648,0.91151,0.88974,0.59383,0.70892,0.53137,0.9712,0.88549,0.87826,0.000192756,0.000192756,0.000192756
50,171.768,1.07842,1.04548,0.92048,0.8963,0.5818,0.701,0.53036,0.9897,0.8999,0.88292,0.000192335,0.000192335,0.000192335
51,175.025,1.08844,1.06285,0.91799,0.90854,0.58452,0.70023,0.53761,0.96178,0.8962,0.88563,0.000191913,0.000191913,0.000191913
52,178.263,1.06402,1.02736,0.9065,0.8931,0.59385,0.69666,0.52926,0.99628,0.92047,0.88973,0.000191491,0.000191491,0.000191491
